angle,lift,drag,lift_to_drag
-5.0,-0.7128047623008982,0.03125021110433773,-22.809598307064114
-4.5,-0.6415242860708082,0.02652271089444016,-24.187734376929328
-4.0,-0.5702438098407185,0.022292842285584445,-25.579681699424388
-3.5,-0.49896333361062867,0.018560605277770578,-26.882923597767608
-3.0,-0.4276828573805389,0.015325999870998561,-27.905706706277908
-2.5,-0.3564023811504491,0.012589026065268391,-28.310560269131575
-2.0,-0.28512190492035927,0.010349683860580071,-27.548851613365027
-1.5,-0.21384142869026945,0.008607973256933599,-24.84225058645753
-1.0,-0.14256095246017964,0.007363894254328977,-19.35945133600649
-0.5,-0.07128047623008982,0.006617446852766203,-10.77159784068283
0.0,0.0,0.006368631052245279,0.0
0.5,0.07128047623008982,0.006617446852766203,10.77159784068283
1.0,0.14256095246017964,0.007363894254328977,19.35945133600649
1.5,0.21384142869026945,0.008607973256933599,24.84225058645753
2.0,0.28512190492035927,0.010349683860580071,27.548851613365027
2.5,0.3564023811504491,0.012589026065268391,28.310560269131575
3.0,0.4276828573805389,0.015325999870998561,27.905706706277908
3.5,0.49896333361062867,0.018560605277770578,26.882923597767608
4.0,0.5702438098407185,0.022292842285584445,25.579681699424388
4.5,0.6415242860708082,0.02652271089444016,24.187734376929328
5.0,0.7128047623008982,0.03125021110433773,22.809598307064114
5.5,0.7840852385309879,0.03647534291527713,21.49630889974679
6.0,0.8553657147610778,0.04219810632725841,20.270239335563346
6.5,0.9266461909911675,0.048418501340281514,19.13826668196046
7.0,0.9979266672212573,0.05513652795434647,18.099193116540626
7.5,1.069207143451347,0.06235218616945327,17.14786937134144
8.0,1.140487619681437,0.07006547598560195,16.2774548183445
8.5,1.211768095911527,0.07827639740279246,15.48063191610678
9.0,1.2830485721416165,0.08698495042102479,14.75023628721292
9.5,1.3543290483717065,0.09619113504029903,14.079561986708171
10.0,1.4256095246017964,0.10589495126061509,13.462488132160983
10.5,1.4968900008318862,0.11609639908197297,12.89350929631303
11.0,1.5681704770619758,0.1267954785043727,12.367716069685367
11.5,1.6394509532920658,0.13799218952781434,11.880751794010854
12.0,1.7107314295221556,0.1496865321522978,11.428759855172412
12.5,1.7820119057522452,0.16187850637782306,11.008329305887248
13.0,1.853292381982335,0.17456811220439022,10.616442823259943
13.5,1.9245728582124249,0.18775534963199922,10.250428879840658
14.0,1.9958533344425147,0.20144021866065004,9.907918824317633
14.5,2.0671338106726047,0.2156227192903428,9.58680892939275
15.0,2.138414286902694,0.23030285152107724,9.285227138001751
15.5,2.209694763132784,0.24548061535285362,9.001504090074773
16.0,2.280975239362874,0.26115601078567197,8.734147961981419
16.5,2.352255715592964,0.27732903781953205,8.481822654011662
17.0,2.423536191823054,0.293999696454434,8.243328891323086
17.5,2.494816668053143,0.3111679866903777,8.017587845678891
18.0,2.566097144283233,0.32883390852736333,7.803626930614121
18.5,2.6373776205133233,0.34699746196539094,7.600567466906636
19.0,2.708658096743413,0.36565864700446027,7.407613956167084
19.5,2.7799385729735024,0.3848174636445713,7.224044737068209
