angle,lift,drag,lift_to_drag
-5.0,-0.6579736267392905,0.028757276948727893,-22.88024794254369
-4.5,-0.5921762640653615,0.024393430601130146,-24.276055047293184
-4.0,-0.5263789013914324,0.020488936500647943,-25.690884511003592
-3.5,-0.46058153871750335,0.0170437946472813,-27.023415163651478
-3.0,-0.39478417604357435,0.014058005041030205,-28.082517746390252
-2.5,-0.32898681336964525,0.011531567681894664,-28.529235785189613
-2.0,-0.2631894506957162,0.009464482569874675,-27.80811827298883
-1.5,-0.19739208802178718,0.007856749704970242,-25.123886522300104
-1.0,-0.1315947253478581,0.006708369087181359,-19.61650046943824
-0.5,-0.06579736267392905,0.00601934071650803,-10.930991577446333
0.0,0.0,0.005789664592950253,0.0
0.5,0.06579736267392905,0.00601934071650803,10.930991577446333
1.0,0.1315947253478581,0.006708369087181359,19.61650046943824
1.5,0.19739208802178718,0.007856749704970242,25.123886522300104
2.0,0.2631894506957162,0.009464482569874675,27.80811827298883
2.5,0.32898681336964525,0.011531567681894664,28.529235785189613
3.0,0.39478417604357435,0.014058005041030205,28.082517746390252
3.5,0.46058153871750335,0.0170437946472813,27.023415163651478
4.0,0.5263789013914324,0.020488936500647943,25.690884511003592
4.5,0.5921762640653615,0.024393430601130146,24.276055047293184
5.0,0.6579736267392905,0.028757276948727893,22.88024794254369
5.5,0.7237709894132195,0.03358047554344119,21.55332757205648
6.0,0.7895683520871487,0.03886302638527006,20.316697527869636
6.5,0.8553657147610777,0.04460492947421447,19.176483963629032
7.0,0.9211630774350067,0.05080618481027443,18.130924037593193
7.5,0.9869604401089357,0.057466792393449935,17.174448042125793
8.0,1.0527578027828648,0.06458675222374101,16.299903099878872
8.5,1.118555165456794,0.07216606430114766,15.499739057253889
9.0,1.184352528130723,0.08020472862566982,14.766617235977613
9.5,1.250149890804652,0.08870274519730754,14.093700121950663
10.0,1.315947253478581,0.09766011401606083,13.474766712459143
10.5,1.3817446161525102,0.10707683508192967,12.904234749703525
11.0,1.447541978826439,0.11695290839491401,12.377135367497957
11.5,1.5133393415003684,0.12728833395501402,11.889065513538812
12.0,1.5791367041742974,0.13808311176222948,11.436132080318934
12.5,1.6449340668482262,0.14933724181656047,11.014895191842323
13.0,1.7107314295221554,0.1610507241180071,10.622314422309874
13.5,1.7765287921960844,0.17322355866656924,10.2556996627442
14.0,1.8423261548700134,0.18585574546224695,9.912667215575786
14.5,1.9081235175439426,0.19894728450504023,9.591101091382834
15.0,1.9739208802178714,0.21249817579494898,9.289119178710573
15.5,2.0397182428918006,0.22650841933197338,9.0050438253351
16.0,2.1055156055657296,0.24097801511611328,8.737376330995192
16.5,2.171312968239659,0.2559069631473689,8.484774863235227
17.0,2.237110330913588,0.2712952634257399,8.24603534416641
17.5,2.3029076935875166,0.2871429159512263,8.020074902278575
18.0,2.368705056261446,0.30344992072382854,7.805917531997702
18.5,2.434502418935375,0.3202162777435462,7.602681650322322
19.0,2.500299781609304,0.3374419870103794,7.40956928259315
19.5,2.566097144283233,0.3551270485243282,7.225856647490598
