angle,lift,drag,lift_to_drag
-5.0,-1.096622711232151,0.044647984978541354,-24.56152750811057
-4.5,-0.9869604401089358,0.0373749077325451,-26.407033488125947
-4.0,-0.8772981689857208,0.030867417565074766,-28.42149548585328
-3.5,-0.7676358978625056,0.02512551447613036,-30.552046947805668
-3.0,-0.6579736267392906,0.020149198465711865,-32.655076967898864
-2.5,-0.5483113556160755,0.015938469533819298,-34.40175698505005
-2.0,-0.4386490844928604,0.012493327680452651,-35.1106683273169
-1.5,-0.3289868133696453,0.009813772905611926,-33.52296986427278
-1.0,-0.2193245422464302,0.007899805209297122,-27.763284845088528
-0.5,-0.1096622711232151,0.00675142459150824,-16.242834328794157
0.0,0.0,0.006368631052245279,0.0
0.5,0.1096622711232151,0.00675142459150824,16.242834328794157
1.0,0.2193245422464302,0.007899805209297122,27.763284845088528
1.5,0.3289868133696453,0.009813772905611926,33.52296986427278
2.0,0.4386490844928604,0.012493327680452651,35.1106683273169
2.5,0.5483113556160755,0.015938469533819298,34.40175698505005
3.0,0.6579736267392906,0.020149198465711865,32.655076967898864
3.5,0.7676358978625056,0.02512551447613036,30.552046947805668
4.0,0.8772981689857208,0.030867417565074766,28.42149548585328
4.5,0.9869604401089358,0.0373749077325451,26.407033488125947
5.0,1.096622711232151,0.044647984978541354,24.56152750811057
5.5,1.2062849823553659,0.052686649303063514,22.895458305131303
6.0,1.3159472534785812,0.06149090070611163,21.400682676092078
6.5,1.4256095246017961,0.07106073918768564,20.06184485129652
7.0,1.5352717957250113,0.08139616474778559,18.86172156246193
7.5,1.6449340668482262,0.09249717738641142,17.783613655327393
8.0,1.7545963379714415,0.10436377710356323,16.812311576556915
8.5,1.8642586090946567,0.11699596389924094,15.934383947639342
9.0,1.9739208802178716,0.13039373777344457,15.138157045912001
9.5,2.0835831513410867,0.14455709872617412,14.413565087439213
10.0,2.193245422464302,0.15948604675742958,13.751958036806318
10.5,2.302907693587517,0.17518058186721097,13.145907320556505
11.0,2.4125699647107317,0.19164070405551822,12.589026828099167
11.5,2.5222322358339473,0.20886641332235154,12.075815329587192
12.0,2.6318945069571624,0.22685770966771068,11.601521106830463
12.5,2.741556778080377,0.2456145930915957,11.162027237762633
13.0,2.8512190492035923,0.26513706359400674,10.753755097663541
13.5,2.9608813203268074,0.2854251211749436,10.373583474847734
14.0,3.0705435914500225,0.30647876583440653,10.018780854491784
14.5,3.1802058625732377,0.32829799757239525,9.686948705411913
15.0,3.2898681336964524,0.35088281638890984,9.375973915035052
15.5,3.3995304048196675,0.3742332222839505,9.083988813372278
16.0,3.509192675942883,0.3983492152575171,8.809337489655473
16.5,3.6188549470660982,0.42323079530960955,8.550547330608982
17.0,3.7285172181893134,0.44887796244022793,8.306304898373794
17.5,3.838179489312528,0.4752907166493721,8.075435422703618
18.0,3.947841760435743,0.5024690579370424,7.856885310797374
18.5,4.057504031558959,0.5304129863032385,7.649707183525241
19.0,4.1671663026821735,0.5591225017479606,7.453047032903417
19.5,4.276828573805388,0.5885976042712084,7.266133165969788
