angle,lift,drag,lift_to_drag
-5.0,-0.7395448723281319,0.012723466371993434,-58.12448044473156
-4.5,-0.6435903850953189,0.012586007761314681,-51.13538759077423
-4.0,-0.5476358978625057,0.012463018478075797,-43.94087185426823
-3.5,-0.45168141062969236,0.012354498522276783,-36.56007646245224
-3.0,-0.3557269233968793,0.012260447893917637,-29.014186632884275
-2.5,-0.259772436164066,0.012180866592998359,-21.326268880851618
-2.0,-0.16381794893125282,0.01211575461951895,-13.521068565331932
-1.5,-0.06786346169843963,0.01206511197347941,-5.624768493455495
-1.0,0.028091025534373593,0.012028938654879738,2.335287122191616
-0.5,0.1240455127671868,0.012007234663719935,10.330897683043743
0.0,0.22,0.012,18.333333333333332
0.5,0.3159544872328132,0.012007234663719935,26.313676386077063
1.0,0.4119089744656264,0.012028938654879738,34.24316860228801
1.5,0.5078634616984397,0.01206511197347941,42.093555601869724
2.0,0.6038179489312528,0.01211575461951895,49.83741978056231
2.5,0.6997724361640659,0.012180866592998359,57.448493571573934
3.0,0.7957269233968792,0.012260447893917637,64.9019456941403
3.5,0.8916814106296923,0.012354498522276783,72.17463412390828
4.0,0.9876358978625056,0.012463018478075797,79.24532083458723
4.5,1.0835903850953188,0.012586007761314681,86.09484481853931
5.0,1.1795448723281319,0.012723466371993434,92.70625141309884
5.5,1.275499359560945,0.012875394310112054,99.06487745848649
6.0,1.3714538467937585,0.013041791575670543,105.15839321893513
6.5,1.4674083340265716,0.013222658168668902,110.97680325001494
7.0,1.5633628212593846,0.013417994089107129,116.512409446397
7.5,1.6593173084921977,0.013627799336985224,121.75974032644335
8.0,1.7552717957250112,0.013852073912303189,126.71545119074243
8.5,1.8512262829578243,0.01409081781506102,131.37820013392937
9.0,1.9471807701906376,0.014344031045258722,135.74850500858744
9.5,2.043135257423451,0.014611713602896294,139.8285863622776
10.0,2.139089744656264,0.014893865487973732,143.62220112592686
10.5,2.2350442318890775,0.01519048670049104,147.13447145948447
11.0,2.33099871912189,0.015501577240448216,150.37171269511998
11.5,2.4269532063547037,0.01582713710784526,153.34126379379768
12.0,2.522907693587517,0.016167166302682175,156.05132317893955
12.5,2.6188621808203303,0.016521664824958957,158.51079225769465
13.0,2.7148166680531434,0.016890632674675606,160.72912840757652
13.5,2.8107711552859564,0.017274069851832125,162.7162087102386
14.0,2.9067256425187695,0.017671976356428514,164.4822052662714
14.5,3.45308214921432,0.015371699360195057,224.63893342567317
15.0,3.563429809532055,0.01573451774574976,226.4721338850449
15.5,3.673777469849791,0.016109635059628355,228.04846020730056
16.0,3.784125130167526,0.01649705130183084,229.3819095869311
16.5,3.8944727904852607,0.01689676647235721,230.48627658176756
17.0,4.004820450802996,0.017308780571207473,231.37507777208
17.5,4.115168111120731,0.017733093598381617,232.06148934421094
18.0,4.225515771438467,0.01816970555387966,232.55829649568645
18.5,4.335863431756201,0.01861861643770158,232.87785353246431
19.0,4.446211092073937,0.019079826249847394,233.0320535340042
19.5,4.5565587523916715,0.019553334990317098,233.03230649135304
