angle,lift,drag,lift_to_drag
-5.0,-1.0817446161525102,0.013685389194520094,-79.04375979206075
-4.5,-0.9435701545372592,0.013555165247561276,-69.60963863624
-4.0,-0.8053956929220081,0.01343864908449286,-59.9312987383063
-3.5,-0.6672212313067571,0.013335840705314846,-50.03218365084728
-3.0,-0.5290467696915062,0.013246740110027234,-39.93788398483335
-2.5,-0.3908723080762551,0.013171347298630023,-29.67595487493603
-2.0,-0.25269784646100407,0.013109662271123215,-19.275694616300235
-1.5,-0.11452338484575308,0.013061685027506808,-8.767887497254488
-1.0,0.02365107676949796,0.013027415567780804,1.8154849399286397
-0.5,0.16182553838474897,0.0130068538919452,12.44155886804904
0.0,0.3,0.013,23.076923076923077
0.5,0.438174461615251,0.0130068538919452,33.68796676393826
1.0,0.576348923230502,0.013027415567780804,44.241232670578114
1.5,0.7145233848457531,0.013061685027506808,54.70376780185918
2.0,0.852697846461004,0.013109662271123215,65.04346403638866
2.5,0.9908723080762551,0.013171347298630023,75.22938129338657
3.0,1.129046769691506,0.013246740110027234,85.23204654984244
3.5,1.267221231306757,0.013335840705314846,95.02372286148562
4.0,1.4053956929220082,0.01343864908449286,104.57864358879077
4.5,1.5435701545372593,0.013555165247561276,113.87320820858046
5.0,1.6817446161525103,0.013685389194520094,122.88613734316849
5.5,1.8199190777677612,0.013829320925369313,131.59858590230525
6.0,1.9580935393830123,0.013986960440108935,139.99421445191146
6.5,2.096268000998263,0.014158307738738959,148.05922004807135
7.0,2.234442462613514,0.014343362821259384,155.7823287647495
7.5,2.372616924228765,0.014542125687670212,163.15475296987898
8.0,2.510791385844016,0.01475459633797144,170.17011704904536
8.5,2.648965847459267,0.014980774772163072,176.824355732356
9.0,2.7871403090745184,0.015220660990245105,183.11558945178476
9.5,2.9253147706897695,0.01547425499221754,189.0439812553817
10.0,3.0634892323050202,0.015741556778080375,194.61157974990334
10.5,3.8419964327043257,0.012818053078266892,299.73322853674716
11.0,4.007805786642626,0.013053826961181805,307.0215193261445
11.5,4.173615140580928,0.013300567071209038,313.7922705277213
12.0,4.339424494519229,0.013558273408348595,320.0573084657815
12.5,4.50523384845753,0.013826945972600473,325.83000305238176
13.0,4.671043202395832,0.01410658476396467,331.1250228565621
13.5,4.836852556334133,0.01439718978244119,335.9581022008307
14.0,5.002661910272434,0.01469876102803003,340.3458223949985
14.5,5.168471264210735,0.015011298500731197,344.3054086199792
15.0,5.334280618149036,0.01533480220054468,347.8545434358173
15.5,5.500089972087337,0.015669272127470487,351.0111974151555
16.0,5.665899326025639,0.01601470828150861,353.7934769981275
16.5,5.83170867996394,0.01637111066265906,356.2194893267389
17.0,5.997518033902241,0.016738479270921834,358.3072235433692
17.5,6.163327387840542,0.017116814106296924,360.0744478245622
18.0,6.329136741778844,0.017506115168784336,361.53862126215824
18.5,6.494946095717146,0.017906382458384076,362.7168195927872
19.0,6.660755449655447,0.01831761597509613,363.62567370727356
19.5,6.826564803593747,0.018739815718920506,364.2813198371722
