angle,lift,drag,lift_to_drag
-5.0,-0.49348022005446796,0.023015373859783486,-21.441329741628202
-4.5,-0.4441321980490211,0.019742489099085173,-22.496261531156236
-4.0,-0.39478417604357435,0.016814118523723522,-23.479326346282264
-3.5,-0.34543615403812755,0.014230262133698537,-24.274756908384965
-3.0,-0.2960881320326808,0.011990919929010219,-24.692695288235587
-2.5,-0.24674011002723398,0.010096091909658562,-24.439170347804257
-2.0,-0.19739208802178718,0.00854577807564357,-23.098199634317307
-1.5,-0.1480440660163404,0.007339978426965245,-20.169550563318214
-1.0,-0.09869604401089359,0.006478692963623582,-15.23394372368777
-0.5,-0.049348022005446794,0.005961921685618586,-8.277200642283619
0.0,0.0,0.005789664592950253,0.0
0.5,0.049348022005446794,0.005961921685618586,8.277200642283619
1.0,0.09869604401089359,0.006478692963623582,15.23394372368777
1.5,0.1480440660163404,0.007339978426965245,20.169550563318214
2.0,0.19739208802178718,0.00854577807564357,23.098199634317307
2.5,0.24674011002723398,0.010096091909658562,24.439170347804257
3.0,0.2960881320326808,0.011990919929010219,24.692695288235587
3.5,0.34543615403812755,0.014230262133698537,24.274756908384965
4.0,0.39478417604357435,0.016814118523723522,23.479326346282264
4.5,0.4441321980490211,0.019742489099085173,22.496261531156236
5.0,0.49348022005446796,0.023015373859783486,21.441329741628202
5.5,0.5428282420599146,0.02663277280581846,20.381964957900404
6.0,0.5921762640653616,0.03059468593719012,19.35552681537833
6.5,0.6415242860708082,0.034901113253898414,18.381198370488963
7.0,0.6908723080762551,0.03955205475594339,17.467418882262734
7.5,0.7402203300817018,0.04454751044332502,16.616424188809322
8.0,0.7895683520871487,0.04988748031604333,15.826983986465862
8.5,0.8389163740925956,0.05557196437409831,15.096035987592485
9.0,0.8882643960980422,0.06160096261748992,14.419651225480097
9.5,0.937612418103489,0.06797447504621823,13.793595573426252
10.0,0.9869604401089359,0.0746925016602832,13.2136481998934
10.5,1.0363084621143828,0.08175504245968483,12.675774251177335
11.0,1.0856564841198293,0.08916209744442309,12.176210690832452
11.5,1.1350045061252763,0.09691366661449807,11.711501027404964
12.0,1.1843525281307232,0.10500974996990972,11.278500600849886
12.5,1.2337005501361697,0.11345034751065797,10.874365545863764
13.0,1.2830485721416165,0.1222354592367429,10.496533331270404
13.5,1.3323965941470635,0.13136508514816453,10.14269958143197
14.0,1.3817446161525102,0.1408392252449228,9.81079393009741
14.5,1.431092638157957,0.15065787952701773,9.498956461160843
15.0,1.4804406601634037,0.16082104799444932,9.205515562953554
15.5,1.5297886821688504,0.1713287306472176,8.928967584069907
16.0,1.5791367041742974,0.18218092748532255,8.667958418981707
16.5,1.6284847261797442,0.19337763850876416,8.421267002419924
17.0,1.6778327481851911,0.20491886371754248,8.187790610130916
17.5,1.7271807701906376,0.21680460311165733,7.966531823593782
18.0,1.7765287921960844,0.22903485669110893,7.756587001043361
18.5,1.8258768142015316,0.24160962445589726,7.557136096351253
19.0,1.875224836206978,0.25452890640602216,7.3674336745691145
19.5,1.9245728582124246,0.2677927025414837,7.186800984296014
